Key/String ID,English,Context,Comments,العربيةُ,български език,简体中文,čeština,Dansk,Nederlands,Suomi,Français,Deutsch,Ελληνικά,Magyar,Italiano,日本語,한국어,Norsk,Polski,Português,Português do Brasil,Română,Русский,Español-España,Español-Latinoamérica,Svenska,ไทย,Türkçe,Українська,Tiếng Việt,中文 (繁體)
q-your-first-spaceport,Install a Spaceport,,,,,您的第一座太空港,Instalujte kosmodrom,,,,Votre première base spatiale,Der erste Space Port,,,,,첫 우주 공항,,,,,,Ваш первый космодром,Tu primer puerto espacial,,,,,,,
q-your-first-spaceport-subject,Install  a spaceport,,,,,建造一座太空港,Instalujte kosmodrom,,,,Construisez une base spatiale,Spaceport bauen,,,,,우주 공항 건설,,,,,,Постройте космодром,Construye un puerto espacial,,,,,,,
q-your-first-spaceport-description,"Director,

In order to send you the first ship to pick up our first batch of Lucrum 115, you have to build a space port.

Space ports are essential for trade with Kobayashi Schwarz and other traders passing by.

Ensure that your first space port has a level landing zone of 3x3 tiles. It has to be perfectly level or they will be disabled and trades might be lost.

To level terrain you can use the Level order from the order menu.
In case nobody is picking up the task, try increasing the priority for mining for some prospectors.",,,,,"指挥官，

在我们向您发送第一艘回收 115 号琉稀矿的飞船前，请先建造一座太空港。

太空港对于小林-施瓦茨公司的贸易至关重要，也能便于您与其他的往来商人交易。

请确保您的首个太空港具有 3x3 地格的水平降落区域。请保证地面完全平整，否则降落区域将无法使用，您也可能失去交易机会。

如需整平地形，请在命令菜单中使用整平命令。
如果无人响应命令，可以尝试提升个别勘探者的采矿优先级。","Pane řediteli,Abychom vám mohli poslat první loď pro vyzvednutí naší první várky Lucrum 115, musíte postavit kosmodrom.Kosmodromy jsou nezbytné pro obchodování s Kobayasho Schwarzem a dalšími obchodníky, kteří tudy projíždějí.Ujistěte se, že váš první kosmodrom má vodorovnou přistávací plochu o rozměrech 3x3 dlaždic. Musí být dokonale vodorovná, jinak bude znefunkčněna a obchody se mohou ztratit.Terén můžete zarovnat pomocí příkazu Zarovnat z nabídky příkazů.Pokud se nikdo o úkol nestará, zkuste zvýšit prioritu těžby pro některé prospektory.",,,,"Bonjour,

Nous vous demandons de construire une base spatiale afin de pouvoir vous envoyer le vaisseau qui récupérera notre première cargaison de Lucrum 115.

Les bases spatiales sont essentielles pour les échanges avec Kobayashi Schwarz et d'autres commerçants de passage.

Assurez-vous que votre première base spatiale a une zone d'atterrissage plate de 3x3 tuiles. Elle doit être absolument plane, ou elle sera désactivée et vous perdrez vos échanges.

Pour aplanir le terrain, utilisez l'ordre Aplanir depuis le menu Ordres.
Si personne ne s'occupe de cette tâche, essayez d'augmenter la priorité d'extraction de quelques prospecteurs.","Direktor,

Um Ihnen den ersten Raumtransporter schicken zu können, der unsere erste Ladung Lucrum 115 abholt, müssen Sie einen Space Port bauen.

Space Ports sind wichtig für den Handel mit Kobayashi Schwarz und anderen Händlern.

Stellen Sie sicher, dass Ihr erster Space Port eine ebene Landezone von 3x3 Feldern hat. Und wenn ich sage eben, dann meine ich perfekt eben, sonst wird sie deaktiviert und der Handel könnte abgebrochen werden.

Um das Terrain zu ebnen, können Sie den Befehl ""Ebnen"" aus dem Auftragsmenü verwenden.
Falls niemand die Aufgabe annimmt, versuchen Sie, die Priorität für den Abbau für einige Kolonisten zu erhöhen.",,,,,"관리자님,

처음 채굴한 루크룸 115를 실을 함선이 착륙하려면 우주 공항이 필요합니다.

우주 공항은 코바야시 슈바르츠 사 외에도 행성을 지나는 상인과 거래하기 위해 꼭 필요합니다.

첫 우주 공항을 건설하려면 3x3 크기의 평탄한 착륙지가 필요합니다. 착륙지는 완벽한 평지여야 합니다. 필요한 착륙지를 확보하지 못하면 기능이 제대로 작동하지 않거나, 거래를 하지 못할 수도 있습니다.

명령 메뉴에서 평탄화 명령을 사용해 지형을 평탄하게 만들 수 있습니다.
해당 명령을 수행할 탐사자가 없다면 탐사자의 채굴 우선순위를 올리면 도움이 될 것입니다.",,,,,,"Управляющему

Чтобы принять корабль, прибывший за первой партией лукрума 115, вам потребуется космодром.

Космодромы нужны для торговли с корпорацией «Кобаяси Шварц» и другими заинтересованными коммерсантами.

Приготовьте для космодрома ровную посадочную зону площадью 3×3 плитки. Идеально ровную, иначе корабль не сможет приземлиться и сделка сорвётся.

Чтобы подготовить местность, используйте команду «Ровнять» в разделе распоряжений.
Если никто не берётся за работу, повысьте её приоритет у старателей.","Director:

Para que te enviemos una nave a recoger nuestra primera tanda de lucrum 115, tienes que construir un puerto espacial.

Los puertos espaciales son fundamentales para las transacciones con Kobayashi-Schwarz y otros comerciantes.

Asegúrate de que tu primer puerto espacial cuenta con una zona de aterrizaje nivelada de 3x3 casillas. Tiene que estar perfectamente nivelada, o se desactivará y te quedarás sin comerciar.

Para nivelar el terreno, usa la orden Nivelar del menú de órdenes.
Si nadie se adjudica la tarea, prueba a aumentar la prioridad de extracción de algunos prospectores.",,,,,,,
q-more-lucrum,More Lucrum 115,,,,,更多 115 号琉稀矿,Více Lucrum 115,,,,Plus de Lucrum 115,Mehr Lucrum 115,,,,,루크룸 115 추가 확보,,,,,,Больше лукрума 115,Más lucrum 115,,,,,,,
q-more-lucrum-subject,More Lucrum 115,,,,,更多 115 号琉稀矿,Více Lucrum 115,,,,Plus de Lucrum 115,Mehr Lucrum 115,,,,,루크룸 115 추가 확보,,,,,,Больше лукрума 115,Más lucrum 115,,,,,,,
q-more-lucrum-description,"Director,
        
Check out available trades now and make sure you hit the Lucrum 115 quota on time.

If you fail to deliver the required Lucrum 115, you will face severe consequences. Therefore, Kobayashi Schwarz' interests should be your prime concerns.

Godspeed.",,,,,"指挥官，
        
请即刻查看可用交易，并确保按时完成。

如果您未能成功交付所需的 115 号琉稀矿，则会面临极其严重的后果。因此，请将小林-施瓦茨的利益作为您的第一要务。

祝您顺利。","Pane řediteli,prohlédněte si dostupné obchody a ujistěte se, že včas splníte kvótu Lucrum 115.Pokud se vám nepodaří dodat požadované množství Lucrum 115, budete čelit vážným následkům. Proto by měly být zájmy Kobayashi Schwarz vaší hlavní prioritou.Přeji hodně štěstí.",,,,"Bonjour,
        
Consultez les échanges disponibles dès maintenant et assurez-vous d'atteindre le quota de Lucrum 115 à temps.

Si vous ne livrez pas le Lucrum 115 nécessaire, vous en paierez les conséquences. Les intérêts de Kobayashi Schwarz doivent être votre priorité.

Bonne chance.","Direktor,

ich bin beeindruckt. Ich habe seit meiner Jugend nicht mehr gesehen, wie man mit so viel Geschick einen Bergbaubetrieb zum Laufen bringt. Wären meine Tränenkanäle nicht mit Weltraumstaub verschmolzen, würde ich vielleicht eine Träne vergießen.

Ich bin sogar so beeindruckt, dass ich Ihre erste Lucrum-Quote freigeschaltet habe. Herzlichen Glückwunsch!

Sehen Sie sich jetzt die verfügbaren Handel an und stellen Sie sicher, dass Sie die Lucrum-Quote rechtzeitig erfüllen.

Wenn Sie das geforderte Lucrum nicht abliefern, wird das schwerwiegende Folgen für Sie haben. Deshalb sollten die Interessen von Kobayashi Schwarz Ihr Hauptanliegen sein.

Ich scherze nicht.

Viel Glück.",,,,,"관리자님,
        
현재 진행할 수 있는 거래를 확인하고 반드시 시간 내에 할당된 루크룸 115를 보내시기 바랍니다.

만약 요구량을 채우지 못하면 가혹한 결과가 기다릴 것입니다. 코바야시 슈바르츠 사의 주요 목표는 곧 관리자님의 목표라는 점을 명심하십시오.

그럼, 행운을 빌겠습니다.",,,,,,"Управляющему
        
Изучите доступные торговые предложения и убедитесь, что сможете поставить нужное количество лукрума 115 в срок.

Если опоздаете с поставкой, вас ждут серьёзные последствия. Помните: интересы корпорации «Кобаяси Шварц» — превыше всего.

Удачи.","Director:
        
Consulta las transacciones comerciales disponibles y asegúrate de que alcanzas el cupo de lucrum 115 a tiempo.

Si fracasas y no entregas el lucrum 115 solicitado, sufrirás graves consecuencias. Por tanto, los intereses de Kobayashi-Schwarz deberían ser tu preocupación número uno.

Suerte.",,,,,,,
q-ks-trade-0,Quota of 200 Lucrum Ore,,,,,200 块琉稀矿配额,Kvota 200 Lucrum Ore,,,,Quota de 200 minerais de Lucrum,200 Lucrum 115,,,,,할당량: 루크룸 광석 200개,,,,,,Поставка в 200 ед. руды лукрума,Cupo de 200 minerales de lucrum,,,,,,,
q-ks-trade-0-subject,Expected quota of 200 Lucrum Ore,,,,,200 块琉稀矿配额需求,Očekávané kvóty 200 Lucrum Ore,,,,Quota de 200 minerais de Lucrum attendu,Erfülle Quote von 200 Lucrum,,,,,할당된 루크룸 광석 200개 전달,,,,,,Ожидается поставка в 200 ед. руды лукрума,Cupo previsto de 200 minerales de lucrum,,,,,,,
q-ks-trade-0-description,"Director,

You are tasked with delivering a total of <b>200 Lucrum ores</b>.
",,,,,"指挥官，

您接下来的任务是交付共计 <b>200 块琉稀矿石</b>。
","Pane řediteli,Máte za úkol dodat celkem **200 rud Lucrum**.",,,,"Bonjour,

Nous vous demandons de livrer un total de <b>200 minerais de Lucrum</b>.
","Direktor,

gute Nachrichten! Wir haben eine fantastische Chance für Sie, Ihren Wert für unsere Aktionäre zu beweisen.

Sie haben den Auftrag, insgesamt <b>200 Lucrum-Erze</b> zu liefern.

Uns ist klar, dass dies ein umfangreiches Unterfangen zu sein scheint, aber wir glauben an Ihr Potenzial, dieser Aufgabe gewachsen zu sein.

Wie ein weiser Mann einst sagte: „Harte Arbeit ist der Preis, den wir für den Erfolg zahlen müssen.“",,,,,"관리자님,

<b>루크룸 광석 총 200개</b> 전달 임무를 진행해 주시기 바랍니다.
",,,,,,"Управляющему

Ждём от вас поставку в <b>200 ед. руды лукрума</b>.
","Director:

Tu misión consiste en entregar un total de <b>200 minerales de lucrum</b>.
",,,,,,,
q-ks-trade-1,Quota of 400 Lucrum Ore,,,,,400 块琉稀矿配额,Kvota 400 Lucrum Ore,,,,Quota de 400 minerais de Lucrum,400 Lucrum 115,,,,,할당량: 루크룸 광석 400개,,,,,,Поставка в 400 ед. руды лукрума,Cupo de 400 minerales de lucrum,,,,,,,
q-ks-trade-1-subject,Expected quota of 400 lucrum ores in 5 days,,,,,400 块琉稀矿配额需求 - 5 天内交付,Očekávaný limit 400 rud lucrum za 5 dní,,,,Quota de 400 minerais de Lucrum attendu dans 5 jours,Erfülle Quote von 400 Lucrum in 5 Tagen,,,,,5일 내에 할당된 루크룸 광석 400개 전달,,,,,,Ожидается поставка в 400 ед. руды лукрума в течение 5 дней,Cupo previsto de 400 minerales de lucrum en 5 días,,,,,,,
q-ks-trade-1-description,"Director,

Deliver <b>400 Lucrum ore</b> within the next <b>5 days</b>.

",,,,,"指挥官，

请在接下来的 <b>5 天内</b>交付 <b>400 块琉稀矿石</b>。

","Pane řediteli,Dodávejte 400 Lucrum ore do 5 dnů.",,,,"Bonjour,

Merci de livrer <b>400 minerais de Lucrum</b> dans les <b>5 prochains jours</b>.

","Direktor,

ich gratuliere Ihnen zu einer einmaligen Gelegenheit, Ihr Engagement für die Kobayashi-Schwarz Corporation unter Beweis zu stellen.

Bitte liefern Sie <b>400 Lucrum-Erz</b> innerhalb der nächsten <b>5 Tage</b>.

Und denken Sie daran: „Beharrlichkeit und Geist haben in allen Zeiten Wunder gewirkt.“",,,,,"관리자님,

이번에는 <b>5일</b> 내로 <b>루크룸 광석 400개</b>를 보내 주시기 바랍니다.

",,,,,,"Управляющему

Поставьте <b>400 ед. руды лукрума</b> в течение <b>5 дней</b>.

","Director:

Entrega <b>400 minerales de lucrum</b> en un plazo de <b>5 días</b>.

",,,,,,,
q-ks-trade-2,Quota of 1000 Lucrum Ore,,,,,1000 块琉稀矿配额,Kvota 1000 Lucrum Ore,,,,Quota de 1000 minerais de Lucrum,1000 Lucrum 115,,,,,"할당량: 루크룸 광석 1,000개",,,,,,Поставка в 1000 ед. руды лукрума,Cupo de 1000 minerales de lucrum,,,,,,,
q-ks-trade-2-subject,Expected quota of 1000 lucrum ores in 5 days,,,,,1000 块琉稀矿配额需求 - 5 天内交付,Očekávaný kvótu 1000 rud lucrum za 5 dní,,,,Quota de 1000 minerais de Lucrum attendu dans 5 jours,Erfülle Quote von 1000 Lucrum in 5 Tagen,,,,,"5일 내에 할당된 루크룸 광석 1,000개 전달",,,,,,Ожидается поставка в 1000 ед. руды лукрума в течение 5 дней,Cupo previsto de 1000 minerales de lucrum en 5 días,,,,,,,
q-ks-trade-2-description,"Director,

Deliver <b>1000 Lucrum ore</b> within the next <b>5 days</b>.

",,,,,"指挥官，

请在接下来的 <b>5 天内</b>交付 <b>1000 块琉稀矿石</b>。

","Řediteli,Dodávejte 1000 Lucrum ore během následujících 5 dnů.",,,,"Bonjour,

Merci de livrer <b>1 000 minerais de Lucrum</b> dans les <b>5 prochains jours</b>.

","Direktor,

ich gratuliere Ihnen zu einer einmaligen Gelegenheit, Ihr Engagement für die Kobayashi-Schwarz Corporation unter Beweis zu stellen.

Bitte liefern Sie <b>1000 Lucrum-Erz</b> innerhalb der nächsten <b>5 Tage</b>.

Und denken Sie daran: „Beharrlichkeit und Geist haben in allen Zeiten Wunder gewirkt.“",,,,,"관리자님,

이번에는 <b>5일</b> 내로 <b>루크룸 광석 1,000개</b>를 보내 주시기 바랍니다.

",,,,,,"Управляющему

Поставьте <b>1000 ед. руды лукрума</b> в течение <b>5 дней</b>.

","Director:

Entrega <b>1000 minerales de lucrum</b> en un plazo de <b>5 días</b>.

",,,,,,,
q-ks-trade-3,Quota of 2000 Lucrum Ore,,,,,2000 块琉稀矿配额,Kvota 2000 Lucrum Ore,,,,Quota de 2000 minerais de Lucrum,2000 Lucrum 115,,,,,"할당량: 루크룸 광석 2,000개",,,,,,Поставка в 2000 ед. руды лукрума,Cupo de 2000 minerales de lucrum,,,,,,,
q-ks-trade-3-subject,Expected quota of 2000 lucrum ores in 5 days,,,,,2000 块琉稀矿配额需求 - 5 天内交付,Očekávaný limit 2000 rud lucrum za 5 dní,,,,Quota de 2000 minerais de Lucrum attendu dans 5 jours,Erfülle Quote von 2000 Lucrum in 5 Tagen,,,,,"5일 내에 할당된 루크룸 광석 2,000개 전달",,,,,,Ожидается поставка в 2000 ед. руды лукрума в течение 5 дней,Cupo previsto de 2000 minerales de lucrum en 5 días,,,,,,,
q-ks-trade-3-description,"Director,

Deliver <b>2000 Lucrum ore</b> within the next <b>5 days</b>.
",,,,,"指挥官，

请在接下来的 <b>5 天内</b>交付 <b>2000 块琉稀矿石</b>。
","Direktore,Dodat 2000 Lucrum ore do 5 dnů.",,,,"Bonjour,

Merci de livrer <b>2 000 minerais de Lucrum</b> dans les <b>5 prochains jours</b>.
","Direktor,

ich gratuliere Ihnen zu einer einmaligen Gelegenheit, Ihr Engagement für die Kobayashi-Schwarz Corporation unter Beweis zu stellen.

Bitte liefern Sie <b>2000 Lucrum-Erz</b> innerhalb der nächsten <b>5 Tage</b>.

Und denken Sie daran: „Beharrlichkeit und Geist haben in allen Zeiten Wunder gewirkt.“",,,,,"관리자님,

이번에는 <b>5일</b> 내로 <b>루크룸 광석 2,000개</b>를 보내 주시기 바랍니다.
",,,,,,"Управляющему

Поставьте <b>2000 ед. руды лукрума</b> в течение <b>5 дней</b>.
","Director:

Entrega <b>2000 minerales de lucrum</b> en un plazo de <b>5 días</b>.
",,,,,,,
q-ks-trade-4,Quota of 500 Lucrum Ingots,,,,,500 块琉稀锭配额,Kvota 500 slitků Lucrum,,,,Quota de 500 lingots de Lucrum,500 Lucrum 115 Barren,,,,,할당량: 루크룸 주괴 500개,,,,,,Поставка в 500 слитков лукрума,Cupo de 500 lingotes de lucrum,,,,,,,
q-ks-trade-4-subject,Expected quota of 500 lucrum ingots,,,,,500 块琉稀锭配额需求,Očekávané kvóty 500 ingotů lucrum,,,,Quota de 500 lingots de Lucrum attendu,Erfülle Quote von 500 Lucrum 115 Barren in 5 Tagen,,,,,할당된 루크룸 주괴 500개 전달,,,,,,Ожидается поставка в 500 слитков лукрума,Cupo previsto de 500 lingotes de lucrum,,,,,,,
q-ks-trade-4-description,"Director,

Deliver <b>500 Lucrum ingots</b>.
",,,,,"指挥官，

请交付<b> 500 块琉稀矿锭</b>。
","Pane řediteli,Dodejte <b>500 ingotů Lucrum</b>.",,,,"Bonjour,

Merci de livrer <b>500 lingots de Lucrum</b>.
","Direktor,

ich gratuliere Ihnen zu einer einmaligen Gelegenheit, Ihr Engagement für die Kobayashi-Schwarz Corporation unter Beweis zu stellen.

Bitte liefern Sie <b>500 Lucrum-Barren</b> innerhalb der nächsten <b>5 Tage</b>.

Und denken Sie daran: „Beharrlichkeit und Geist haben in allen Zeiten Wunder gewirkt.“.",,,,,"관리자님,

이번에는 <b>루크룸 주괴 500개</b>를 보내 주시기 바랍니다.
",,,,,,"Управляющему

Поставьте <b>500 слитков лукрума</b>.
","Director:

Entrega <b>500 lingotes de lucrum</b>.
",,,,,,,
q-ks-trade-6,New Trade,,,,,新交易,Nový obchod,,,,Nouvel échange,Weiterer Trade,,,,,새로운 거래,,,,,,Новое торговое предложение,Nueva transacción,,,,,,,
q-ks-trade-6-subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q-ks-trade-6-description,"Director,

another trade is available.",,,,,"指挥官，

有新交易可用。","Pane řediteli,je k dispozici další obchod.",,,,"Bonjour,

Un nouvel échange est disponible.","Direktor,

ein weiterer Trade steht zur Verfügung.",,,,,"관리자님,

새 거래 내용이 들어왔습니다.",,,,,,"Управляющему

Поступило торговое предложение.","Director:

Hay otra transacción disponible.",,,,,,,
q-ks-trade-7,New Trade,,,,,新交易,Nový obchod,,,,Nouvel échange,Weiterer Trade,,,,,새로운 거래,,,,,,Новое торговое предложение,Nueva transacción,,,,,,,
q-ks-trade-7-subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q-ks-trade-7-description,"Director,

another trade is available.",,,,,"指挥官，

有新交易可用。","Pane řediteli,je k dispozici další obchod.",,,,"Bonjour,

Un nouvel échange est disponible.","Direktor,

ein weiterer Trade steht zur Verfügung.",,,,,"관리자님,

새 거래 내용이 들어왔습니다.",,,,,,"Управляющему

Поступило торговое предложение.","Director:

Hay otra transacción disponible.",,,,,,,
q-ks-trade-8,New Trade,,,,,新交易,Nový obchod,,,,Nouvel échange,Weiterer Trade,,,,,새로운 거래,,,,,,Новое торговое предложение,Nueva transacción,,,,,,,
q-ks-trade-8-subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q-ks-trade-8-description,"Director,

another trade is available.",,,,,"指挥官，

有新交易可用。","Pane řediteli,je k dispozici další obchod.",,,,"Bonjour,

Un nouvel échange est disponible.","Direktor,

ein weiterer Trade steht zur Verfügung.",,,,,"관리자님,

새 거래 내용이 들어왔습니다.",,,,,,"Управляющему

Поступило торговое предложение.","Director:

Hay otra transacción disponible.",,,,,,,
q-ks-trade-9,New Trade,,,,,新交易,Nový obchod,,,,Nouvel échange,Weiterer Trade,,,,,새로운 거래,,,,,,Новое торговое предложение,Nueva transacción,,,,,,,
q-ks-trade-9-subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q-ks-trade-9-description,"Director,

another trade is available.",,,,,"指挥官，

有新交易可用。","Pane řediteli,je k dispozici další obchod.",,,,"Bonjour,

Un nouvel échange est disponible.","Direktor,

ein weiterer Trade steht zur Verfügung.",,,,,"관리자님,

새 거래 내용이 들어왔습니다.",,,,,,"Управляющему

Поступило торговое предложение.","Director:

Hay otra transacción disponible.",,,,,,,
q-ks-trade-10,New Trade,,,,,新交易,Nový obchod,,,,Nouvel échange,Weiterer Trade,,,,,새로운 거래,,,,,,Новое торговое предложение,Nueva transacción,,,,,,,
q-ks-trade-10-subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q-ks-trade-10-description,"Director,

another trade is available.",,,,,"指挥官，

有新交易可用。","Pane řediteli,je k dispozici další obchod.",,,,"Bonjour,

Un nouvel échange est disponible.","Direktor,

ein weiterer Trade steht zur Verfügung.",,,,,"관리자님,

새 거래 내용이 들어왔습니다.",,,,,,"Управляющему

Поступило торговое предложение.","Director:

Hay otra transacción disponible.",,,,,,,
q-ks-trade-11,New Trade,,,,,新交易,Nový obchod,,,,Nouvel échange,Weiterer Trade,,,,,새로운 거래,,,,,,Новое торговое предложение,Nueva transacción,,,,,,,
q-ks-trade-11-subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q-ks-trade-11-description,"Director,

another trade is available.",,,,,"指挥官，

有新交易可用。","Pane řediteli,je k dispozici další obchod.",,,,"Bonjour,

Un nouvel échange est disponible.","Direktor,

ein weiterer Trade steht zur Verfügung.",,,,,"관리자님,

새 거래 내용이 들어왔습니다.",,,,,,"Управляющему

Поступило торговое предложение.","Director:

Hay otra transacción disponible.",,,,,,,
q-ks-item-trade-placeholder,Trade,,,,,交易,Obchod,,,,Échange,Handelsanfrage,,,,,거래,,,,,,Торговое предложение,Transacción,,,,,,,
q-ks-item-trade-placeholder-subject,Trade,,,,,交易,Obchod,,,,Échange,Handelsanfrage,,,,,거래,,,,,,Торговое предложение,Transacción,,,,,,,
q-ks-item-trade-placeholder-description,"Dear Prospector,

We have a surplus of items that might interest you. Deliver the requested items before this offer expires and we will make sure you receive them.",,,,,"亲爱的勘探者，

我们有一批您可能感兴趣的物资。请在此报价过期前交付所需物品，然后我们会确保您收到这批物资。","Vážený prospektoro,Máme přebytek předmětů, které by vás mohly zajímat. Dodáte-li požadované předměty dříve, než tato nabídka vyprší, zajistíme vám jejich obdržení.",,,,"Bonjour,

Nous avons un surplus d'objets qui pourraient vous intéresser. Livrez les objets demandés avant l'expiration de l'offre, et nous vous les enverrons.","Direktor,

wir haben einen Überschuss an Items, die Sie interessieren könnten. Liefern Sie uns die gewünschten Items, bevor dieses Angebot ausläuft, und wir werden dafür sorgen, dass Sie sie erhalten.",,,,,"탐사자 여러분,

여러분이 관심을 가질 여분의 물품을 가지고 왔습니다. 기한 내에 요청한 물품을 보내 주시면 이 여분 물품을 드리겠습니다.",,,,,,"Управляющему

У нас есть излишки товаров, которые могут вас заинтересовать. Чтобы получить их, доставьте требуемые предметы до истечения срока предложения.","Director:

Nos sobran artículos que quizá te interesen. Entrega los objetos solicitados antes de que expire la oferta y nos aseguraremos de que los recibes.",,,,,,,
q-head-of-mining-signature,"Shinsuke Miyamoto
--
Head of Mining Operations
Kobayashi Schwarz Corp.",,,,,"宫本真辅
——
矿业负责人
小林-施瓦茨公司",Šinsuke Mijamoto--Vedoucí těžebních operacíKobajaši Švarc Corp.,,,,"Shinsuke Miyamoto
--
Direction de l'exploitation minière
Kobayashi Schwarz Corp.","Shinsuke Miyamoto
--
Leiter, Bergbau Operationen
Kobayashi Schwarz Corp.",,,,,"미야모토 신스케
--
채굴 작업팀장
코바야시 슈바르츠 사",,,,,,"Синсукэ Миямото
--
Глава отдела горной промышленности
Корпорация «Кобаяси Шварц»","Shinsuke Miyamoto
--
Jefe de operaciones mineras
Corp. Kobayashi-Schwarz",,,,,,,
q-head-of-mining-signature2,"All the best,

Shinsuke Miyamoto
--
Head of Mining Operations
Kobayashi Schwarz Corp.",,,,,"祝您好运，

宫本真辅
——
矿业负责人
小林-施瓦茨公司","Všechno nejlepší,Šinsuke Mijamoto--Vedoucí těžebních operacíKobayashi Schwarz Corp.",,,,"Bien à vous,

Shinsuke Miyamoto
--
Direction de l'exploitation minière
Kobayashi Schwarz Corp.","Ich wünsche Ihnen alles Gute,

Shinsuke Miyamoto
--
Leiter, Bergbau Operationen
Kobayashi Schwarz Corp.",,,,,"행운을 빕니다,

미야모토 신스케
--
채굴 작업팀장
코바야시 슈바르츠 사",,,,,,"С наилучшими пожеланиями,
Синсукэ Миямото
--
Глава отдела горной промышленности
Корпорация «Кобаяси Шварц»","Un abrazo,

Shinsuke Miyamoto
--
Jefe de operaciones mineras
Corp. Kobayashi-Schwarz",,,,,,,
q-head-of-mining-signature3,"Kind regards,

Shinsuke Miyamoto
--
Head of Mining Operations
Kobayashi Schwarz Corp.",,,,,"此致，

宫本真辅
——
矿业负责人
小林-施瓦茨公司","S pozdravem,Shinsuke Miyamoto--Vedoucí těžebních operacíKobayashi Schwarz Corp.",,,,"Cordialement,

Shinsuke Miyamoto
--
Direction de l'exploitation minière
Kobayashi Schwarz Corp.","Mit freundlichen Grüßen,

Shinsuke Miyamoto
--
Leiter, Bergbau Operationen
Kobayashi Schwarz Corp.",,,,,"감사합니다.

미야모토 신스케
--
채굴 작업팀장
코바야시 슈바르츠 사",,,,,,"С уважением,
Синсукэ Миямото
--
Глава отдела горной промышленности
Корпорация «Кобаяси Шварц»","Un saludo,

Shinsuke Miyamoto
--
Jefe de operaciones mineras
Corp. Kobayashi-Schwarz",,,,,,,
q-head-of-mining-signature-planetfall,"Shinsuke Miyamoto

PS: Press F2 to toggle the roofless view to look inside your ship.
PPS: Use WASD or middle mouse click to move around. Right click or Q and E to rotate your camera. Mouse wheel scroll to zoom.

--
Head of Mining Operations
Kobayashi Schwarz Corp.",,,,,"宫本真辅

附注：按 F2 键以隐藏仓顶，观察飞船内部。
又及：使用 WASD 四处移动。按下 Q 键和 E键 旋转镜头。使用鼠标滚轮进行缩放。

——
矿业负责人
小林-施瓦茨公司",Šinsuke MijamotoP.S.: Stiskněte F2 pro přepínání pohledu bez střechy a podívejte se dovnitř vaší lodi.P.P.S.: Pro pohyb použijte WASD nebo kliknutí prostředním tlačítkem myši. Pravé tlačítko myši nebo Q a E pro otáčení kamery. Kolečko myši pro přiblížení.--Vedoucí těžebních operacíKobayashi Schwarz Corp.,,,,"Shinsuke Miyamoto

P.S. : Appuyez sur F2 pour activer/désactiver la vue sans toit et regarder à l'intérieur de votre vaisseau.
P.P.S. : Utilisez ZQSD pour vous déplacer. A et E permettent de faire pivoter la caméra, et la molette de la souris permet de zoomer.

--
Direction de l'exploitation minière
Kobayashi Schwarz Corp.","Shinsuke Miyamoto

PS: Drücken Sie F2, um die Ansicht ohne Dach zu aktivieren und ins Innere Ihres Schiffes zu schauen.
PPS: WASD um sich umzuschauen. Q und E um die Kamera zu drehen. Mausrad um zu zoomen.

--
Leiter, Bergbau Operationen
Kobayashi Schwarz Corp.",,,,,"미야모토 신스케

추신: F2를 누르면 지붕 표시를 없애고 함선 내부를 볼 수 있습니다.
추가: WASD를 눌러 화면을 이동할 수 있으며, Q와 E로 회전할 수 있습니다. 마우스 휠을 사용하면 확대/축소합니다.

--
채굴 작업팀장
코바야시 슈바르츠 사",,,,,,"Синсукэ Миямото

P. S. Нажмите F2, чтобы включить режим просмотра без крыши и заглянуть внутрь корабля.
P. P. S. Для перемещения по карте используйте WASD, для поворота камеры — Q и E, для масштабирования — колёсико мыши.

--
Глава отдела горной промышленности
Корпорация «Кобаяси Шварц»","Shinsuke Miyamoto

P. D.: Pulsa F2 para cambiar a la vista sin techo y ver el interior de tu nave.
P. P. D.: Las teclas WASD sirven para moverse, Q y E para rotar la cámara y la rueda del ratón para acercar o alejar la vista.

--
Jefe de operaciones mineras
Corp. Kobayashi-Schwarz",,,,,,,
